student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1725,Stephanie Herman,C,52.2,87.3,39.3,59.5,2.0,42.6
S1726,Gabriel Mcgee,A,39.4,41.0,61.5,31.5,51.8,38.2
S1727,Ashley Haynes,C,81.2,52.6,10.0,64.5,31.2,51.2
S1728,Deborah Morrison,A,53.6,63.5,56.6,82.0,31.3,50.8
S1729,Jessica Torres MD,A,67.3,40.4,30.7,41.4,4.1,53.1
S1730,Justin Salazar,A,56.0,62.4,81.7,53.8,31.5,53.8
S1731,Maria Branch,C,48.4,89.9,74.0,66.6,121.3,64.6
S1732,Brian Underwood,B,76.5,65.3,68.4,79.5,72.9,70.0
S1733,Kristy Gillespie,B,79.1,68.5,87.4,55.7,17.3,63.6
S1734,Tammy Barnes,A,63.1,46.1,42.9,52.3,1.2,35.8
S1735,Ashley Hensley,C,38.9,55.8,91.5,34.4,13.5,46.8
S1736,Stephen Brown,A,63.4,59.4,76.8,63.4,52.5,66.2
S1737,Joy King,C,74.7,60.2,55.7,90.6,36.3,61.1
S1738,Joshua Hines,B,52.3,84.2,80.4,65.9,18.4,58.1
S1739,Jerry Hernandez,A,72.2,73.4,40.1,61.7,1.7,62.9
S1740,Kristin Soto,B,69.8,48.3,45.2,66.5,16.7,50.5
S1741,Lauren Kelly,A,77.0,68.7,49.0,61.8,19.0,56.8
S1742,Derek Hall,B,71.4,72.5,50.5,50.6,79.2,60.1
S1743,Albert Jones,B,58.3,82.1,41.0,73.5,30.7,62.6
S1744,Robin Love,A,84.4,88.7,82.0,65.2,11.2,88.2
S1745,Clarence Diaz,C,68.1,49.8,55.3,62.2,22.4,58.8
S1746,Thomas Johnson,A,69.7,52.8,66.3,48.3,2.1,61.6
S1747,Douglas Miller,B,58.8,46.1,49.7,80.2,107.9,50.8
S1748,Joshua Haynes,C,64.7,61.5,27.2,71.3,13.4,45.1
S1749,Kent Payne,B,59.4,72.0,64.9,54.3,19.5,57.8
S1750,Kathy Perez,A,67.9,79.8,25.6,76.0,13.2,57.8
S1751,Steven Guerra,C,90.5,63.9,58.8,55.0,34.4,57.5
S1752,Autumn Shields,B,53.5,60.2,35.4,51.1,32.6,45.6
S1753,Emily Thomas,A,50.6,67.3,95.8,51.4,37.7,62.2
S1754,Scott Griffith,A,87.7,52.5,76.4,37.2,9.4,62.7
S1755,Casey Matthews,C,67.5,96.3,61.9,68.6,11.4,70.3
S1756,Patrick Hunter,B,62.0,40.9,82.7,36.4,4.0,52.7
S1757,Shannon Singleton,B,82.5,67.8,44.8,44.8,32.0,55.1
S1758,Thomas Miller,C,62.7,95.4,69.8,32.9,1.2,58.5
S1759,Jeanette Daniels,C,91.9,65.1,63.6,60.8,27.3,59.2
S1760,Nicole Morgan,A,78.1,62.1,64.8,59.9,61.1,73.1
S1761,Philip Johnson DDS,A,64.1,59.6,82.9,57.4,66.4,61.1
S1762,Gregory Thompson,A,95.9,62.3,73.2,47.4,17.9,65.2
S1763,Mary Sosa,B,62.7,85.6,65.2,45.6,18.4,55.0
S1764,Robert Foster,A,78.9,31.8,30.2,68.5,2.4,65.6
S1765,Julie Acevedo,B,73.6,88.0,42.7,54.3,33.3,55.2
S1766,Edgar Watts,C,85.6,43.6,57.8,66.4,51.7,56.8
S1767,Ashley Mitchell,C,88.7,61.0,61.7,49.6,8.4,64.4
S1768,Aaron Bernard,A,70.4,58.6,39.7,64.5,16.4,57.4
S1769,Douglas Barnes,C,61.0,73.8,100.0,80.2,54.8,75.9
S1770,Nicholas Newman,A,75.5,41.0,87.3,70.2,62.9,73.3
S1771,Terry Riley,C,61.9,71.9,70.8,56.2,8.4,62.4
S1772,Dean Munoz,A,94.2,95.4,61.3,65.6,24.0,68.5
S1773,Andrew Briggs,A,71.6,44.6,56.2,58.6,6.4,51.3
S1774,Connie Fernandez,C,65.6,67.8,42.9,62.1,3.2,56.5
S1775,Justin Williams,A,72.2,55.1,61.4,57.4,72.6,70.6
S1776,Jasmine Williams,A,53.8,71.4,64.6,59.7,51.5,48.8
S1777,Chelsea Rivera,B,58.3,65.3,37.6,65.0,42.8,59.4
S1778,Linda Watson,B,84.4,55.4,66.0,48.1,1.5,60.7
S1779,Richard Galloway,B,62.1,72.3,57.2,47.8,55.7,61.7
S1780,Erik Williams,B,57.4,92.1,25.7,42.6,17.3,51.6
S1781,Vanessa Hodges,B,76.4,62.1,44.5,39.6,12.6,48.6
S1782,Mark Richardson,A,84.2,75.8,52.6,45.0,23.7,66.6
S1783,Darlene Caldwell,A,78.6,45.6,94.0,64.2,2.9,67.4
S1784,Rachel Harrington,A,82.0,50.7,70.0,49.5,42.4,65.6
S1785,Andrea Stewart,C,60.9,72.1,36.0,69.2,26.2,54.4
S1786,Matthew Mooney,B,52.9,87.3,68.7,62.5,6.2,57.4
S1787,Lynn Michael,B,88.0,70.3,32.1,34.4,6.3,46.4
S1788,Peter Kirk,B,66.1,60.3,79.5,71.2,6.1,66.6
S1789,Dr. Nicholas Garcia MD,C,67.0,65.0,51.5,73.4,1.8,60.2
S1790,Kristen Hogan,A,85.9,46.2,58.3,48.1,26.6,51.1
S1791,Brandon Hatfield,B,76.7,74.1,83.9,67.9,55.0,66.6
S1792,Kevin Reyes,B,75.5,78.2,36.8,50.0,0.5,54.3
S1793,Brian Wall,B,96.0,58.2,34.9,63.4,1.5,51.0
S1794,Eric Thompson,A,62.3,57.9,49.5,44.3,25.5,45.4
S1795,Jason Stevens,C,81.1,69.0,78.7,36.9,51.4,57.3
S1796,Adam Thomas,C,70.7,58.4,32.7,56.6,11.9,48.7
S1797,Amy Hurst,B,73.2,64.0,10.0,60.3,12.9,44.9
S1798,Mark Johnson,B,88.3,96.5,51.9,56.4,27.2,60.4
S1799,Michael Davis,C,76.1,61.3,69.9,45.4,9.6,71.3
